source_id,title,publisher,source_type,url,publication_date,language,access_date,reuse_value,caveats,notes
CN_EDU_MOE_BUL_2024,2024年全国教育事业发展统计公报,Ministry of Education of the PRC,official statistical bulletin,https://hudong.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202506/t20250611_1193760.html,2025-06-11,zh-CN,2026-05-06,High,Aggregate education totals; not discipline-specific.,"National baseline for school counts, higher-education gross enrollment, and macro supply trend checks."
CN_EDU_MOE_HE_STUD_2024,高等教育学生数,Ministry of Education of the PRC,official dataset table,https://www.moe.gov.cn/jyb_sjzl/moe_560/2024/quanguo/202603/t20260318_1431284.html,2026-03-18,zh-CN,2026-05-06,High,National total only; no field-of-study split.,"Useful for total postgraduate, bachelor, and vocational stock/flow baselines before allocating by province and discipline."
CN_EDU_MOE_POSTGRAD_PROV_2024,高等学校（机构）研究生数,Ministry of Education of the PRC,official dataset table,https://www.moe.gov.cn/jyb_sjzl/moe_560/2024/gedi/202603/t20260317_1431200.html,2026-03-17,zh-CN,2026-05-06,High,"Province-level, but still not major-specific.","Best official province-level source for postgraduate graduates, entrants, and enrolment in the annual MOE release."
CN_EDU_MOE_UG_PROV_2024,高等教育普通本科学生数,Ministry of Education of the PRC,official dataset table,https://www.moe.gov.cn/jyb_sjzl/moe_560/2024/gedi/202603/t20260317_1431199.html,2026-03-17,zh-CN,2026-05-06,High,Province-level only; not by discipline.,"Useful for province weighting of undergraduate talent pools that may feed tooling-relevant majors such as materials, chemistry, optics, instrumentation, and mechanical engineering."
CN_EDU_MOE_UG_CATALOG_2025,教育部关于公布2024年度普通高等学校本科专业备案和审批结果及《普通高等学校本科专业目录（2025年）》的通知,Ministry of Education of the PRC,official discipline catalog,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202504/t20250422_1188239.html,2025-04-22,zh-CN,2026-05-06,High,Catalog and filing results; not enrollment counts.,Authoritative map of officially recognized undergraduate majors and newly added programs; useful for tracking tooling-adjacent major expansion.
CN_EDU_MOE_GRAD_DIR_2022,研究生教育学科专业目录（2022年）发布，自2023年起实施,Ministry of Education of the PRC,official discipline catalog,https://fx.xwapp.moe.gov.cn/article/202209/63214de5f858056a22552341.html,2022-09-18,zh-CN,2026-05-06,High,"Catalog, not graduate counts.","Authoritative graduate-discipline taxonomy; important for normalizing optics, instrumentation, materials, chemical engineering, mechanical engineering, and IC-related graduate programs."
CN_EDU_NBS_YEARBOOK_2024,中国统计年鉴,National Bureau of Statistics of China,official yearbook portal,https://www.stats.gov.cn/sj/ndsj/,,zh-CN,2026-05-06,Medium,Landing page rather than a direct education chapter; navigation can change.,"Useful as a stable macro cross-check alongside MOE tables, especially for long-run national higher-education trend series."
CN_SHORT_SH_DIR_2020,上海市经济信息化委等关于印发《上海市重点领域（产业类）紧缺人才开发目录》的通知,Shanghai Municipal Commission of Economy and Informatization and partner agencies,official shortage directory notice,https://www.shanghai.gov.cn/hqcyfz2/20230627/20bbcf483ac7497ca242f118d5eb889d.html,2020-05-12,zh-CN,2026-05-06,High,Older than other shortage sources; attachment-based.,Good benchmark source for Shanghai shortage categories and skill framing in strategic industries; useful historically for the IC/tooling ecosystem in the Yangtze River Delta.
CN_SHORT_SZ_SEMI_2024,深圳市人力资源和社会保障局关于印发《深圳市半导体与集成电路产业高端紧缺岗位清单（试行）》《深圳市生物医药产业高端紧缺岗位清单（试行）》的通知,Shenzhen Municipal Human Resources and Social Security Bureau,official shortage directory notice,https://hrss.sz.gov.cn/gkmlpt/content/11/11472/post_11472010.html,2024-07-29,zh-CN,2026-05-06,High,Focused on Shenzhen and high-end roles; attachment contains the detail.,One of the most directly reusable official role-level demand sources for semiconductor and integrated-circuit talent in South China.
CN_SHORT_BAOAN_2025,宝安构建重点产业“急需紧缺人才蓄水池”,Shenzhen Municipal Government,district-level shortage directory announcement,https://www.sz.gov.cn/cn/xxgk/zfxxgj/gqdt/content/post_12075399.html,2025-03-17,zh-CN,2026-05-06,High,Announcement page summarizes the directory rather than reproducing all rows.,"Valuable for role, salary, and tightness scoring in a district with meaningful semiconductor and manufacturing activity; especially useful for market-facing demand signals."
