role_family_id,segment,segment_id_original,role_family,plain_english_description,typical_titles,typical_skills,experience_level,observability,tacit_knowhow_observable,public_proxies,suggested_primary_sources
ECS_RS,etch_clean,ECS,Research scientists,"Invent or validate new plasma regimes, chemistries, chamber materials, surface interactions, and residue-removal mechanisms.",Plasma scientist; surface scientist; cleaning chemist; materials scientist,Patents; publications; key-lab pages; conference talks; senior R&D postings.,phd_or_experienced_engineer,Medium,partly,Patents; publications; key-lab pages; conference talks; senior R&D postings.,CNIPA; CNKI; company technology pages; university and key-lab pages
ECS_PE,etch_clean,ECS,Production engineers,"Own recipes, DOE, process windows, installation debug, chamber match, customer ramp, and failure analysis.",Etch process engineer; clean/strip process engineer; application engineer; field application engineer,Company ATS postings; annual reports; customer-support descriptions; process/application titles.,experienced_engineer,High,more_visible,Company ATS postings; annual reports; customer-support descriptions; process/application titles.,Company recruitment pages; CNINFO annual reports; official job platforms
ECS_TE,etch_clean,ECS,Technicians,"Run PM, swap consumables, execute checklists, resolve first-line faults, and support release-test or install work.",Equipment technician; installation/debug technician; test technician; cleanroom maintenance technician,Vocational standards; technician studios; campus hiring; training pages; service pages.,technician_or_specialist,Medium,partly,Vocational standards; technician studios; campus hiring; training pages; service pages.,MHRSS standards; company training pages; recruitment pages; local HRSS training notices
ECS_TK,etch_clean,ECS,Tacit production know-how,Chamber seasoning; alarm triage; tool matching; handoff timing; residue-risk intuition; fab etiquette during ramps.,Held by senior process engineers; senior field engineers; shift leads; master technicians,Mentor systems; chief-technician studios; onboarding programs; repeated-order and service-network disclosures.,experienced_engineer,Weakly observable,weakly,Mentor systems; chief-technician studios; onboarding programs; repeated-order and service-network disclosures.,Company training pages; chief-technician studio pages; annual reports; MHRSS standards
DEP_RS,deposition,DEP,Research scientists,"Develop new chemistries, deposition sequences, film stacks, and interface-control methods.",Thin-film scientist; ALD/CVD chemist; surface-reaction scientist; materials scientist,Patents on precursors/chamber design; papers on film properties; senior R&D roles.,phd_or_experienced_engineer,Medium,partly,Patents on precursors/chamber design; papers on film properties; senior R&D roles.,CNIPA; CNKI; company thin-film product pages; university labs
DEP_PE,deposition,DEP,Production engineers,Translate film targets into stable recipes and hardware conditions on production tools; manage customer validation.,Deposition process engineer; module engineer; integration engineer; field application engineer,Process-engineer roles; annual reports; product-validation disclosures; service postings.,experienced_engineer,High,more_visible,Process-engineer roles; annual reports; product-validation disclosures; service postings.,Company recruitment pages; CNINFO annual reports; company product news
DEP_TE,deposition,DEP,Technicians,"Operate, maintain, and debug vacuum chambers, gas cabinets, heaters, pumps, and associated automation.",Vacuum technician; deposition equipment technician; process-test technician,Technician postings; training pages; occupational standards; vocational course pages.,technician_or_specialist,Medium,partly,Technician postings; training pages; occupational standards; vocational course pages.,MHRSS standards; company hiring pages; training programs; official job platforms
DEP_TK,deposition,DEP,Tacit production know-how,Source conditioning; PM sequence effects; chamber recovery after maintenance; match rules; lot-release heuristics.,Held by senior process engineers; master technicians; field-service veterans,Internal academies; mentor programs; chief-technician studios; customer-site support network.,experienced_engineer,Weakly observable,weakly,Internal academies; mentor programs; chief-technician studios; customer-site support network.,Company training pages; annual reports; service pages; MHRSS standards
MI_RS,metrology_inspection,MI,Research scientists,"Create new sensing principles, imaging paths, algorithms, and measurement models.",Optical scientist; imaging scientist; metrology physicist; data scientist,Optics and algorithm patents; publications; advanced R&D job posts.,phd_or_experienced_engineer,Medium,partly,Optics and algorithm patents; publications; advanced R&D job posts.,CNIPA; CNKI; company metrology pages; university optics/instrument labs
MI_PE,metrology_inspection,MI,Production engineers,"Calibrate tools, tune recipes, reduce false alarms, integrate outputs into SPC and customer yield workflows.",Metrology engineer; inspection engineer; system engineer; application engineer; field support engineer,ATS postings with optics/algorithms/system titles; annual reports; service-team descriptions.,experienced_engineer,High,more_visible,ATS postings with optics/algorithms/system titles; annual reports; service-team descriptions.,Company recruitment pages; CNINFO annual reports; official job platforms
