discipline_id,moe_code,name_cn,name_en,pinyin,discipline_type,most_relevant_segments,relevance_notes,example_keyword_anchor,source_id,suggested_primary_sources
disc_1401,1401,集成电路科学与工程,Integrated Circuit Science and Engineering,jicheng dianlu kexue yu gongcheng,Academic discipline,etch_clean; deposition; metrology_inspection; lithography_sidebar,"Best single cross-disciplinary anchor for semiconductor device, process, equipment, and integration training.",工艺实现; 装备; 量测; 光刻,CN_EDU_MOE_GRAD_DIR_2022,MOE 2020 notice creating 1401; MOE 2022 graduate catalog; university program pages
disc_0702,0702,物理学,Physics,wuli xue,Academic discipline,etch_clean; metrology_inspection; lithography_sidebar,"Feeds plasma physics, optics, surface interactions, sensing physics, and measurement models.",等离子体; 光学; 电子束; 计量模型,CN_EDU_MOE_GRAD_DIR_2022,MOE 2022 graduate catalog; university physics departments; relevant patents/publications
disc_0703,0703,化学,Chemistry,hua xue,Academic discipline,etch_clean; deposition,"Core for wet clean, strip chemistry, precursor chemistry, surface reactions, and contamination control.",清洗化学; 去胶; 前驱体; 表面反应,CN_EDU_MOE_GRAD_DIR_2022,MOE 2022 graduate catalog; CNKI; company process-chemistry job posts
disc_0802,0802,机械工程,Mechanical Engineering,jixie gongcheng,Academic discipline,deposition; metrology_inspection; lithography_sidebar,"Needed for chambers, stages, thermal structures, vacuum hardware, and precision assemblies.",真空腔体; 运动台; 热设计; 精密装配,CN_EDU_MOE_GRAD_DIR_2022,MOE 2022 graduate catalog; company recruitment pages; CNIPA
disc_0803,0803,光学工程,Optical Engineering,guangxue gongcheng,Academic discipline,metrology_inspection; lithography_sidebar,"Most direct academic source for imaging optics, illumination design, alignment, and optical metrology.",光学设计; 成像; 对准; 套刻,CN_EDU_MOE_GRAD_DIR_2022,MOE 2022 graduate catalog; SMEE and metrology company recruitment pages
disc_0804,0804,仪器科学与技术,Instrument Science and Technology,yiqi kexue yu jishu,Academic discipline,metrology_inspection; lithography_sidebar,"Fits measurement systems, calibration, sensors, automation, and precision instrumentation.",仪器; 计量; 校准; 传感器,CN_EDU_MOE_GRAD_DIR_2022,MOE 2022 graduate catalog; metrology company pages; CNKI
disc_0805,0805,材料科学与工程,Materials Science and Engineering,cailiao kexue yu gongcheng,Academic discipline,deposition; etch_clean,"Important for films, chamber materials, corrosion, residues, and film reliability.",薄膜; 应力; 介质; 腔体材料,CN_EDU_MOE_GRAD_DIR_2022,MOE 2022 graduate catalog; deposition product pages; patents and publications
disc_0809,0809,电子科学与技术,Electronic Science and Technology,dianzi kexue yu jishu,Academic discipline,etch_clean; deposition; metrology_inspection; lithography_sidebar,"Links devices, microelectronics, process, and equipment understanding.",微电子; 器件; 制程; 工艺,CN_EDU_MOE_GRAD_DIR_2022,MOE 2022 graduate catalog; IC schools; company job descriptions
disc_0811,0811,控制科学与工程,Control Science and Engineering,kongzhi kexue yu gongcheng,Academic discipline,metrology_inspection; lithography_sidebar; etch_clean; deposition,"Critical for equipment automation, stage control, RF control loops, and stable tool behavior.",控制; 运动控制; 自动化; 伺服,CN_EDU_MOE_GRAD_DIR_2022,MOE 2022 graduate catalog; company recruitment pages; CNIPA
disc_0812,0812,计算机科学与技术,Computer Science and Technology,jisuanji kexue yu jishu,Academic discipline,metrology_inspection; lithography_sidebar,"Relevant for defect classification, image software, SPC integration, simulation, and tool software.",图像算法; AI; 软件平台; 数据分析,CN_EDU_MOE_GRAD_DIR_2022,MOE 2022 graduate catalog; metrology recruitment pages; CNKI
disc_0817,0817,化学工程与技术,Chemical Engineering and Technology,huaxue gongcheng yu jishu,Academic discipline,deposition; etch_clean,"Useful for gas delivery, reaction engineering, process scale-up, and wet-process systems.",化工; 反应工程; 气体输运; 湿法,CN_EDU_MOE_GRAD_DIR_2022,MOE 2022 graduate catalog; deposition/cleaning job postings; CNKI
disc_0854,0854,电子信息,Electronic Information,dianzi xinxi,Professional degree category,etch_clean; deposition; metrology_inspection; lithography_sidebar,"Major applied-engineering pipeline for integrated systems, microelectronics-adjacent implementation, and tool software/control.",电子信息; 系统工程; 工艺实现,CN_EDU_MOE_GRAD_DIR_2022,MOE 2022 graduate catalog; university professional-degree programs; company campus recruiting
disc_0855,0855,机械,Mechanical Engineering,jixie,Professional degree category,deposition; metrology_inspection; lithography_sidebar,"Strong applied pipeline for equipment design, assembly, vacuum hardware, and precision mechatronics.",机械; 机电; 装调; 精密机构,CN_EDU_MOE_GRAD_DIR_2022,MOE 2022 graduate catalog; university professional-degree programs; company campus recruiting
disc_0856,0856,材料与化工,Materials and Chemical Engineering,cailiao yu huagong,Professional degree category,deposition; etch_clean,"Strong applied pipeline for films, chemistries, cleaning, precursors, and process engineering.",材料与化工; 清洗; 薄膜; 前驱体,CN_EDU_MOE_GRAD_DIR_2022,MOE 2022 graduate catalog; university professional-degree programs; company campus recruiting
