use_case,segment_id,segment,keyword_en,keyword_cn,where_to_search,why_useful
Segment-defining patents and products,ECS,etch_clean,ICP etch selectivity anisotropy electrostatic chuck chamber matching,ICP刻蚀 选择比 各向异性 静电卡盘 腔体匹配,CNIPA; AMEC official product pages,Find hardware-plus-process inventions and the language firms use for technical bottlenecks
Cleaning and strip know-how,ECS,etch_clean,post-etch clean residue polymer damage megasonic strip,刻蚀后清洗 残留物 聚合物 损伤 兆声波 去胶,CNKI; CNIPA; ACM Research Shanghai product pages,Captures the wet-chemistry and residue-control side that patents alone can miss
Etch/clean hiring demand,ECS,etch_clean,etch process engineer clean strip application engineer RF engineer,刻蚀 工艺工程师 清洗 去胶 应用工程师 射频工程师,Company ATS pages; MOHRSS public recruitment; NCSS,Best public signal for active demand by sub-role
Deposition core problems,DEP,deposition,ALD CVD PVD precursor conformality gap fill particle control,ALD CVD PVD 前驱体 保形性 填孔 颗粒控制,CNIPA; CNKI; NAURA and AMEC product pages,Maps directly to film-growth challenges
Deposition scaling and validation,DEP,deposition,thin film process engineer chamber matching in situ clean productivity,薄膜 工艺工程师 腔体匹配 原位清洗 产能,Company ATS pages; CNINFO annual reports,Helps separate lab capability from high-volume capability
Metrology architecture,MI,metrology_inspection,defect inspection CD overlay thickness topography autofocus stage calibration,缺陷检测 CD 套刻 膜厚 三维形貌 自动聚焦 运动台 校准,Skyverse and SMEE product pages; CNIPA,Good for distinguishing inspection from metrology and for identifying subsystem breadth
Metrology algorithms,MI,metrology_inspection,optical algorithm image processing defect classification SPC yield management,光学算法 图像处理 缺陷分类 SPC 良率管理,Company ATS pages; CNKI; CNIPA,Useful for finding the software/data layer of measurement tools
Metrology field service,MI,metrology_inspection,metrology application engineer field technical support calibration engineer,量测 应用工程师 现场技术支持 校准工程师,Company ATS pages; MOHRSS and NCSS platforms,Best proxy for customer-ramp and site-calibration demand
Lithography optics and overlay,LIT,lithography_sidebar,projection optics overlay focus leveling alignment lithography,投影光学 套刻 调焦调平 对准 光刻,ASML and SMEE official product pages; CNIPA,Useful for the opto-mechatronic talent cluster
Lithography talent demand,LIT,lithography_sidebar,optical design engineer Zemax CODE V tolerance alignment lithography,光学设计工程师 Zemax CODE V 公差分析 光学装调 光刻,SMEE official recruitment pages; official job platforms,Directly surfaces skill requirements rather than only product claims
Annual-report organizational proxy,ALL,all,annual report R&D personnel production personnel technical support semiconductor equipment,年报 研发人员 生产人员 技术支持 半导体设备,CNINFO; SSE/STAR Market disclosures where applicable,Best public source for headcount mix and disclosed training plans
Training and tacit-knowledge proxy,ALL,all,integrated circuit engineering technician standard chief technician studio innovation academy mentor OJT,集成电路工程技术人员 国家职业技术技能标准 首席技师工作室 创新学院 导师带教 OJT,MOE; MHRSS; company training pages,Best public route into weakly observable know-how-transfer infrastructure
