observation_id,entity_type,entity_id,city,province,segment,capability_id,indicator_name,indicator_value,indicator_unit,evidence_type,confidence,source_id,year,notes
obs_0001,discipline,disc_1401,,,etch_clean,,MOE discipline relevance to tooling segment,Integrated Circuit Science and Engineering,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"集成电路科学与工程 (1401) is analyst-mapped to etch_clean; use as taxonomy, not headcount."
obs_0002,discipline,disc_1401,,,deposition,,MOE discipline relevance to tooling segment,Integrated Circuit Science and Engineering,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"集成电路科学与工程 (1401) is analyst-mapped to deposition; use as taxonomy, not headcount."
obs_0003,discipline,disc_1401,,,metrology_inspection,,MOE discipline relevance to tooling segment,Integrated Circuit Science and Engineering,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"集成电路科学与工程 (1401) is analyst-mapped to metrology_inspection; use as taxonomy, not headcount."
obs_0004,discipline,disc_1401,,,lithography_sidebar,,MOE discipline relevance to tooling segment,Integrated Circuit Science and Engineering,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"集成电路科学与工程 (1401) is analyst-mapped to lithography_sidebar; use as taxonomy, not headcount."
obs_0005,discipline,disc_0702,,,etch_clean,,MOE discipline relevance to tooling segment,Physics,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"物理学 (0702) is analyst-mapped to etch_clean; use as taxonomy, not headcount."
obs_0006,discipline,disc_0702,,,metrology_inspection,,MOE discipline relevance to tooling segment,Physics,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"物理学 (0702) is analyst-mapped to metrology_inspection; use as taxonomy, not headcount."
obs_0007,discipline,disc_0702,,,lithography_sidebar,,MOE discipline relevance to tooling segment,Physics,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"物理学 (0702) is analyst-mapped to lithography_sidebar; use as taxonomy, not headcount."
obs_0008,discipline,disc_0703,,,etch_clean,,MOE discipline relevance to tooling segment,Chemistry,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"化学 (0703) is analyst-mapped to etch_clean; use as taxonomy, not headcount."
obs_0009,discipline,disc_0703,,,deposition,,MOE discipline relevance to tooling segment,Chemistry,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"化学 (0703) is analyst-mapped to deposition; use as taxonomy, not headcount."
obs_0010,discipline,disc_0802,,,deposition,,MOE discipline relevance to tooling segment,Mechanical Engineering,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"机械工程 (0802) is analyst-mapped to deposition; use as taxonomy, not headcount."
obs_0011,discipline,disc_0802,,,metrology_inspection,,MOE discipline relevance to tooling segment,Mechanical Engineering,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"机械工程 (0802) is analyst-mapped to metrology_inspection; use as taxonomy, not headcount."
obs_0012,discipline,disc_0802,,,lithography_sidebar,,MOE discipline relevance to tooling segment,Mechanical Engineering,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"机械工程 (0802) is analyst-mapped to lithography_sidebar; use as taxonomy, not headcount."
obs_0013,discipline,disc_0803,,,metrology_inspection,,MOE discipline relevance to tooling segment,Optical Engineering,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"光学工程 (0803) is analyst-mapped to metrology_inspection; use as taxonomy, not headcount."
obs_0014,discipline,disc_0803,,,lithography_sidebar,,MOE discipline relevance to tooling segment,Optical Engineering,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"光学工程 (0803) is analyst-mapped to lithography_sidebar; use as taxonomy, not headcount."
obs_0015,discipline,disc_0804,,,metrology_inspection,,MOE discipline relevance to tooling segment,Instrument Science and Technology,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"仪器科学与技术 (0804) is analyst-mapped to metrology_inspection; use as taxonomy, not headcount."
obs_0016,discipline,disc_0804,,,lithography_sidebar,,MOE discipline relevance to tooling segment,Instrument Science and Technology,qualitative,manual_inference,medium,CN_EDU_MOE_GRAD_DIR_2022,2022,"仪器科学与技术 (0804) is analyst-mapped to lithography_sidebar; use as taxonomy, not headcount."
