signal_id,city,province,segment,signal_label,evidence_type,confidence,source_id,year,notes
sig_001,Shenzhen,Guangdong,etch_clean,Official semiconductor/IC high-end shortage directory signal,shortage_signal,high,CN_SHORT_SZ_SEMI_2024,2024,"Use as evidence of official role-level demand signal, not as neutral labor-market census."
sig_002,Shenzhen,Guangdong,deposition,Official semiconductor/IC high-end shortage directory signal,shortage_signal,high,CN_SHORT_SZ_SEMI_2024,2024,"Use as evidence of official role-level demand signal, not as neutral labor-market census."
sig_003,Shenzhen,Guangdong,metrology_inspection,Official semiconductor/IC high-end shortage directory signal,shortage_signal,high,CN_SHORT_SZ_SEMI_2024,2024,"Use as evidence of official role-level demand signal, not as neutral labor-market census."
sig_004,Shenzhen,Guangdong,lithography_sidebar,Official semiconductor/IC high-end shortage directory signal,shortage_signal,high,CN_SHORT_SZ_SEMI_2024,2024,"Use as evidence of official role-level demand signal, not as neutral labor-market census."
sig_005,Bao'an / Shenzhen,Guangdong,etch_clean,District-level urgent-shortage talent pool signal,shortage_signal,medium,CN_SHORT_BAOAN_2025,2025,Announcement summarizes district shortage directory; use attachment for detailed rows later.
sig_006,Bao'an / Shenzhen,Guangdong,deposition,District-level urgent-shortage talent pool signal,shortage_signal,medium,CN_SHORT_BAOAN_2025,2025,Announcement summarizes district shortage directory; use attachment for detailed rows later.
sig_007,Bao'an / Shenzhen,Guangdong,metrology_inspection,District-level urgent-shortage talent pool signal,shortage_signal,medium,CN_SHORT_BAOAN_2025,2025,Announcement summarizes district shortage directory; use attachment for detailed rows later.
sig_008,Tianjin,Tianjin,etch_clean,High-level and urgent-shortage talent directory includes IC chain context,shortage_signal,medium,CN_SHORT_TJ_DIR_2023,2023,Multi-industry source; semiconductor equipment roles need filtering.
sig_009,Tianjin,Tianjin,deposition,High-level and urgent-shortage talent directory includes IC chain context,shortage_signal,medium,CN_SHORT_TJ_DIR_2023,2023,Multi-industry source; semiconductor equipment roles need filtering.
sig_010,Tianjin,Tianjin,metrology_inspection,High-level and urgent-shortage talent directory includes IC chain context,shortage_signal,medium,CN_SHORT_TJ_DIR_2023,2023,Multi-industry source; semiconductor equipment roles need filtering.
sig_011,Chengdu-Chongqing,Sichuan/Chongqing,etch_clean,Regional urgent-shortage talent directory relevant to electronics and advanced manufacturing,shortage_signal,medium,CN_SHORT_CY_DIR_2023,2023,Regional source; filter semiconductor/equipment roles from broader clusters.
sig_012,Chengdu-Chongqing,Sichuan/Chongqing,deposition,Regional urgent-shortage talent directory relevant to electronics and advanced manufacturing,shortage_signal,medium,CN_SHORT_CY_DIR_2023,2023,Regional source; filter semiconductor/equipment roles from broader clusters.
sig_013,Chengdu-Chongqing,Sichuan/Chongqing,metrology_inspection,Regional urgent-shortage talent directory relevant to electronics and advanced manufacturing,shortage_signal,medium,CN_SHORT_CY_DIR_2023,2023,Regional source; filter semiconductor/equipment roles from broader clusters.
sig_014,Shanghai,Shanghai,etch_clean,Shanghai shortage and IC cluster policy context,shortage_signal,medium,CN_SHORT_SH_DIR_2020,2020,"Older source; useful as historical benchmark, not current shortage magnitude."
sig_015,Shanghai,Shanghai,deposition,Shanghai shortage and IC cluster policy context,shortage_signal,medium,CN_SHORT_SH_DIR_2020,2020,"Older source; useful as historical benchmark, not current shortage magnitude."
sig_016,Shanghai,Shanghai,metrology_inspection,Shanghai shortage and IC cluster policy context,shortage_signal,medium,CN_SHORT_SH_DIR_2020,2020,"Older source; useful as historical benchmark, not current shortage magnitude."
sig_017,Shanghai,Shanghai,lithography_sidebar,Shanghai shortage and IC cluster policy context,shortage_signal,medium,CN_SHORT_SH_DIR_2020,2020,"Older source; useful as historical benchmark, not current shortage magnitude."
sig_018,Shanghai,Shanghai,etch_clean,Lingang Oriental Chip Port cluster signal,industry_presence,high,CN_PARK_ORIENTAL_CHIP_PORT,2024,Park-level evidence of IC cluster; not a direct talent count.
sig_019,Shanghai,Shanghai,deposition,Lingang Oriental Chip Port cluster signal,industry_presence,high,CN_PARK_ORIENTAL_CHIP_PORT,2024,Park-level evidence of IC cluster; not a direct talent count.
sig_020,Shanghai,Shanghai,metrology_inspection,Lingang Oriental Chip Port cluster signal,industry_presence,high,CN_PARK_ORIENTAL_CHIP_PORT,2024,Park-level evidence of IC cluster; not a direct talent count.
sig_021,Shanghai,Shanghai,lithography_sidebar,Lingang Oriental Chip Port cluster signal,industry_presence,high,CN_PARK_ORIENTAL_CHIP_PORT,2024,Park-level evidence of IC cluster; not a direct talent count.
sig_022,Beijing,Beijing,etch_clean,Beijing E-Town IC chain cluster signal,industry_presence,high,CN_PARK_BEIJING_ETOWN_IC,2023,"Cluster release says the IC chain includes equipment, parts, and materials; not a direct talent count."
sig_023,Beijing,Beijing,deposition,Beijing E-Town IC chain cluster signal,industry_presence,high,CN_PARK_BEIJING_ETOWN_IC,2023,"Cluster release says the IC chain includes equipment, parts, and materials; not a direct talent count."
sig_024,Beijing,Beijing,metrology_inspection,Beijing E-Town IC chain cluster signal,industry_presence,high,CN_PARK_BEIJING_ETOWN_IC,2023,"Cluster release says the IC chain includes equipment, parts, and materials; not a direct talent count."
