entity_id,name_en,name_cn,entity_type,segment,province,city,lat,lon,website,source_id,notes
ent_naura,NAURA Technology Group,北方华创,company,etch_clean; deposition,Beijing,Beijing,39.9042,116.4074,https://www.naura.com/product/semiconductor.html,CN_FIRM_NAURA,Official product page lists semiconductor equipment categories; use for tool-category mapping.
ent_amec,AMEC,中微公司,company,etch_clean; deposition,Shanghai,Shanghai,31.2304,121.4737,https://www.amec-inc.com/en/,CN_FIRM_AMEC,Core etch/deposition product-line source.
ent_piotech,Piotech,拓荆科技,company,deposition,Liaoning,Shenyang,41.8057,123.4315,https://www.piotech.cn/index.php/About,CN_FIRM_PIOTECH,Deposition company source covering PECVD/ALD/SACVD/HDPCVD/Flowable CVD in ledger.
ent_acm_sh,ACM Research Shanghai,盛美上海,company,etch_clean; deposition,Shanghai,Shanghai,31.2304,121.4737,https://www.acmrcsh.com.cn/about-qy.html,CN_FIRM_ACM_SH,Clean/strip and adjacent front-end equipment source.
ent_beim,Beijing Electronics Inspection and Metrology Equipment,北京电子量检测装备有限责任公司,company,metrology_inspection,Beijing,Beijing,39.9042,116.4074,https://www.beim.com.cn/StaticPage/AboutUs/companyprofile.html,CN_FIRM_BEIM,Metrology/inspection anchor source.
ent_smee,Shanghai Micro Electronics Equipment,上海微电子装备,company,lithography_sidebar; metrology_inspection,Shanghai,Shanghai,31.2304,121.4737,https://www.smee.com.cn/,CN_FIRM_SMEE,Lithography-sidebar source; homepage broad and needs product-page verification for claims.
ent_lingang_oriental_chip_port,Oriental Chip Port,东方芯港,industrial_park,etch_clean; deposition; metrology_inspection; lithography_sidebar,Shanghai,Shanghai,30.9000,121.9000,https://english.shanghai.gov.cn/en-SpecialIndustrialParks/20240202/2186cfc4c746456695e1d14c5c789e91.html,CN_PARK_ORIENTAL_CHIP_PORT,"Park-level source for distinctive processes, key equipment, basic materials, and packaging/testing."
ent_beijing_etown_ic,Beijing E-Town IC Cluster,北京亦庄集成电路产业链,industrial_cluster,etch_clean; deposition; metrology_inspection; lithography_sidebar,Beijing,Beijing,39.7768,116.5060,https://kfqgw.beijing.gov.cn/zwgkkfq/yzttkfq/cxzc/202306/t20230629_3150053.html,CN_PARK_BEIJING_ETOWN_IC,"Cluster geography source that includes design, manufacturing, packaging, equipment, parts, and materials."
ent_sip_ic,Suzhou Industrial Park IC Cluster,苏州工业园区集成电路产业创新集群,industrial_cluster,deposition; metrology_inspection; lithography_sidebar,Jiangsu,Suzhou,31.2989,120.5853,https://www.sipac.gov.cn/kjhxxhj/kjzc/202209/bd7a1de8fdbb4389af3e7c80b00c97a5.shtml,CN_PARK_SIP_IC,Action-plan source naming equipment directions and talent/firm targets.
ent_haicang_ic,Xiamen Haicang IC Park,厦门海沧集成电路产业园,industrial_park,etch_clean; deposition; metrology_inspection,Fujian,Xiamen,24.4798,118.0894,https://www.haicang.gov.cn/zjhc/cyjj/41898/202408/t20240806_1062693.htm,CN_PARK_HAICANG_IC,Park source for South China / coastal demand mapping.
ent_jingce,Jingce Electronic,精测电子,company,metrology_inspection,Hubei,Wuhan,30.5928,114.3055,https://static.cninfo.com.cn/finalpage/2026-04-28/1225201721.PDF,CN_FILING_JINGCE_2025,Annual report summary source for metrology/inspection product taxonomy; verify full filing before public claims.
