capability_id,segment,segment_id_original,segment_name,capability_name,plain_english_description,core_technical_problems,public_proxy_examples,suggested_primary_sources,bottleneck_relevance,notes
ECS01,etch_clean,ECS,Etch/Clean/Strip,Plasma source and sheath control,Create a stable plasma and independently shape ion density and ion energy so the tool removes the intended material with the intended directionality.,ICP/CCP source design; RF matching; ion energy-density decoupling; chamber repeatability; wafer temperature interaction with plasma.,Etch-source patents; AMEC product pages; RF engineer and plasma/process job posts; technical conference papers on plasma etch.,AMEC etch pages and annual reports; CNIPA patent search; CNKI; company recruitment pages,high,Capability taxonomy row generated from Deep Research; validate against primary sources before publication.
ECS02,etch_clean,ECS,Etch/Clean/Strip,"Profile, selectivity, and high-aspect-ratio transfer",Translate a mask pattern into the film stack without collapsing profile control or attacking adjacent materials.,Etch rate; anisotropy; selectivity; CD/profile control; microloading; aspect ratio effects; residues; endpoint strategy.,Annual reports and product pages mentioning HAR or advanced memory; patents on profile/endpoint/chamber design; process engineer jobs.,AMEC annual reports and product pages; CNIPA; CNKI; listed-company disclosures on CNINFO,high,Capability taxonomy row generated from Deep Research; validate against primary sources before publication.
ECS03,etch_clean,ECS,Etch/Clean/Strip,Post-etch clean and residue removal,"Remove polymers, particles, metals, and native contamination so the next process starts from a stable surface.",Residue chemistry; particle removal from patterned wafers; metal contamination; no pattern damage; chemical compatibility with prior films.,Cleaning tool pages; patents on megasonic/no-damage cleaning; clean-process jobs; papers on post-etch clean.,ACM Research Shanghai product pages; CNIPA; CNKI; company recruitment and application-engineer postings,high,Capability taxonomy row generated from Deep Research; validate against primary sources before publication.
ECS04,etch_clean,ECS,Etch/Clean/Strip,Strip and rework-safe material removal,Remove photoresist or metal-removal residues quickly and safely without destroying pattern fidelity or surface quality.,PR strip; metal strip; solvent/acid compatibility; throughput vs damage; chemical consumption and recovery; safety and filtration.,Strip-tool pages; patents on strip chemistry/tool modules; strip/process-support jobs.,ACM Research Shanghai strip pages; CNIPA; MHRSS skill standards; company job pages,high,Capability taxonomy row generated from Deep Research; validate against primary sources before publication.
DEP01,deposition,DEP,Deposition,Precursor delivery and reaction control,Deliver gases or vapor-phase precursors to the wafer in the right sequence and conditions so the film forms predictably.,Flow-field design; precursor dose/purge timing; pressure control; source stability; reaction kinetics; low thermal budget constraints.,ALD/CVD/PVD patents; NAURA product pages; deposition scientist and process-engineer postings.,NAURA CVD/ALD/PVD pages; CNIPA; CNKI; company recruitment pages,high,Capability taxonomy row generated from Deep Research; validate against primary sources before publication.
DEP02,deposition,DEP,Deposition,Film-property engineering,"Tune the film so it has the electrical, mechanical, and reliability properties the device needs.",Thickness uniformity; composition; stress; resistivity; leakage; defect density; particle and contamination control.,Patents on chamber flow and film tuning; publications on film properties; process integration job ads.,NAURA deposition pages; AMEC annual reports on thin-film products; CNIPA; CNKI,high,Capability taxonomy row generated from Deep Research; validate against primary sources before publication.
DEP03,deposition,DEP,Deposition,"Conformality, coverage, and gap fill",Coat deep or narrow structures evenly and fill features without voids or seam defects.,Step coverage; conformality; HAR fill; interface quality; liner/barrier continuity; integration with preclean.,Product pages and annual reports for ALD or HAR applications; patents on chamber architecture and sequence control.,NAURA ALD article and ALD/LPCVD pages; AMEC annual reports; CNIPA; CNKI,high,Capability taxonomy row generated from Deep Research; validate against primary sources before publication.
DEP04,deposition,DEP,Deposition,High-volume stability and chamber match,Keep film results stable across chambers and maintenance cycles while meeting cost and throughput targets.,Chamber matching; particle excursions; seasoning; in-situ clean; PM sensitivity; throughput vs film quality.,Maintenance and application-engineer jobs; annual reports; patents on chamber materials and in-situ cleaning.,NAURA and AMEC annual reports; company career pages; CNIPA; official service/support pages,high,Capability taxonomy row generated from Deep Research; validate against primary sources before publication.
MI01,metrology_inspection,MI,Metrology/Inspection,Defect imaging and illumination engineering,Find real defects and separate them from nuisance signals using optical or e-beam imaging and controlled illumination.,Sensitivity vs false alarm rate; illumination geometry; signal-to-noise; frontside/backside/bevel handling; defect review workflow.,Inspection-tool pages; optics and imaging patents; optical-design and defect-review job posts.,Skyverse and SMEE product pages; KLA product pages; CNIPA; company recruitment pages,high,Capability taxonomy row generated from Deep Research; validate against primary sources before publication.
MI02,metrology_inspection,MI,Metrology/Inspection,"CD, overlay, thickness, profile, and flatness measurement",Measure dimensions and alignment precisely enough for process control rather than only for offline diagnosis.,Calibration; stage accuracy; autofocus/focus mapping; overlay models; thickness/profile extraction; reference standards.,"Overlay/CD/thickness tool pages; patents on stage/focus/calibration; jobs in optics, measurement, and algorithms.",Skyverse and SMEE metrology pages; KLA inspection/metrology pages; CNIPA; CNKI,high,Capability taxonomy row generated from Deep Research; validate against primary sources before publication.
